ENTE,STRUTTURA,INDIRIZZO,"LATITUDINE
LONGITUDINE",TELEFONO,EMAIL,AREA RIFERIMENTO,SERVIZIO
Associazione U.I.L.D.M.,Villaggio Guido Scocozza,"Via Pio XI, 84125, Salerno (SA)","40.682824, 14.765733",089 2582245,uildm@retesolidale.it,Area Integrazione Socio-Sanitaria,Residenzialità disabili
Auxilium,Comunità tutelare per anziani,"Via Gelbison, 1 - Novi Velia (SA)","40.217519, 15.335378",,,Area Integrazione Socio-Sanitaria,Comunità tutelare
Auxilium,Giovanni Paolo II,Località Santoianni - Fellitto (SA),"40.374656, 15.241786",,,Area Integrazione Socio-Sanitaria,Comunità tutelare
Betlem,Comunità Alloggio San Gaspare Bertoni,"Via G. Clarizia, 9 - Battipaglia (SA)","40.610466, 14.975066", , ,Area Minori,Accoglienza residenziale minori
Capovolti Società Cooperativa Sociale,Capovolti- Centro Sociale Polifunzionale,"Via Vittorio Emanuele II, 35 - 84090 Montecorvino Pugliano (SA)","40.672829, 14.948603",089 801176,info@capovolti.org,Area Disabilità,Centro Diurno Polifunzionale per persone con disabilità
Capovolti Società Cooperativa Sociale,Riesco- Gruppo Appartamento,"Via Toscana, 8 - 84098 Pontecagnano Faiano (SA)","40.641602, 14.873165",089 6800198,info@capovolti.org,Area Disabilità,Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato
Capovolti Società Cooperativa Sociale,Casa Nadia - Casa Alloggio,"Via Vittorio Emanuele II, 35 - 84090 Montecorvino Pugliano (SA)","40.672829, 14.948603",089 801176,info@capovolti.org,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Casa di Cura Angrisani Srl,Villa Dei Fiori,Poggio San Pantleone - 84014 Nocera Inferiore (SA),"40.736991, 14.626743",081 5157711,info@villadeifiori.it,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Casa di riposo Monsignore F. Genovese Srl,Monsignore dei Genovesi,"Via Largo Genovese, 18 - Cava de' Tirreni (SA)","40.705190, 14.722229",,,Area Persone Anziane,Casa albergo residenziale
Cassiopea Società Cooperativa Sociale,,Via Ostaglio - 84133 Salerno (SA),"40.652507, 14.856037",,,Area Contrasto Alla Povertà,Centro di prima accoglienza e di sistemazione alloggiativa temporanea
Centro di Riabilitazione Lars S.r.l,Villa Formosa,"Via Pietro Formosa, 19 - 84013 Cava de' Tirreni (SA)","40.698594, 14.702561",,,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Centro di Riabilitazione Lars S.r.l,Villa Formosa,"Via Santa Maria Delle Grazie, 11-15 - 84088 Siano SA","40.802105, 14.685445",,,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Centro di Riabilitazione Lars S.r.l,CDI Centro Diurno Integrato,"Piazza Municipio, 1 - 84080 Pellezzano (SA)","40.726946, 14.760444",,,Area Integrazione Socio-Sanitaria,Centro Diurno Integrato
Colomba S.p.a.,Sant'Antonio,"Via Convento, 1 - 84090 Giffoni Sei Casali (SA)","40.740970, 14.903750",,,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
"Consorzio Coop. Sociali ""Handy Care""",Sede Legale,"Via Giovanni Negri, 5 Salerno (SA)","40.683366, 14.767382",,,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
"Consorzio Coop. Sociali ""Il Deltaplano""",Sede Legale,Traversa Migliaro snc Salerno (SA),"40.649415, 14.831839",,,Area Disabilità,"Assistenza specialistica all'integrazione scolastica per alunni con disabilità
Assistenza Domiciliare Integrata (ADI) ADH"
"Consorzio Di Cooperative Sociali ""La Rada""",Sede Legale,"Via Tanagro, 12 - Salerno (SA)","40.660227, 14.808938",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
"Consorzio Di Cooperative Sociali ""La Rada""",Vernieri - Asilo Nido Comunale,"Via Principessa Sichelgaita, 12 - 84125 Salerno (SA)","40.682136, 14.762855",089  662915,asilonidovernieri@comune.salerno.it,Asili Nido,Direzione integrata asili nido
"Consorzio Di Cooperative Sociali ""La Rada""",Teresa Buonocore - Asilo Nido Comunale,"Piazza Pio XII, 9, 84133 Salerno (SA)","40.666193, 14.795785",089  663332,asilonidobuonocore@gmail.com,Asili Nido,Direzione integrata asili nido
"Consorzio Di Cooperative Sociali ""La Rada""",Il Birillo - Asilo Nido Comunale,"Via Mauri Raffaele, 61, 84129 Salerno (SA)","40.662045, 14.799494",089  665193,asilonidobirillo@comune.salerno.it,Asili Nido,Direzione integrata asili nido
"Consorzio Di Cooperative Sociali ""La Rada""",Sorriso - Asilo Nido Comunale,"Via Onorato da Craco, 84135 Salerno (SA)","40.684393, 14.778524",089  790625,asilonidosorriso@comune.salerno.it,Asili Nido,Direzione integrata asili nido
"Consorzio Di Cooperative Sociali ""La Rada""",Giuseppina Saragat - Asilo Nido Comunale,"Via Fusandola, 2, 84121 Salerno (SA)","40.680083, 14.753737",089  662148,asilonidosaragat@gmail.com,Asili Nido,Direzione integrata asili nido
Coop Soc Il Villaggio Di Esteban,Centro Diurno Il Bosco Di Bistorco,Via Parmenide 98/100 Salerno (SA),"40.655911, 14.805636",328 7784971,areaminori@ilvillaggiodiesteban.it,Area Minori,Accoglienza semi residenziale minori
Coop Soc Il Villaggio Di Esteban,Gruppo Appartamento Il Dito E La Luna,Via Trento 94/B Salerno (SA),"40.660234, 14.799095",346 8822370,assistentesociale@ilvillaggiodiesteban.it,Area Disabilità,Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato
Coop Soc Il Villaggio Di Esteban,Centro Diurno Polifunzionale Tangram,"Via Mauri Raffaele, 61, 84129 Salerno SA","40.662045, 14.799494",320 0182063,assistentesociale@ilvillaggiodiesteban.it,Area Disabilità,Centro Diurno Polifunzionale per persone con disabilità
"Cooperativa Sociale ""Il Villaggio Di Esteban""","Casa Alloggio ""Escargot""","Via Premuda, 11 - 84132 Salerno (SA)","40.658078, 14.814172",089 2961833,escargotsalerno@gmail.com,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
"Cooperativa Sociale ""Il Villaggio Di Esteban""","Casa Alloggio ""Si Può Fare""","Piazza Matteo D'Aiello, 12 - 84121 Salerno (SA)","40.680145, 14.754145",089 3180532,sipuofare.villaggiodiesteban@gmail.com,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
"Cooperativa Sociale ""Il Villaggio Di Esteban""",Sede Legale,Via R. Mauri c/o ex UMA - Salerno (SA),"40.658350, 14.802843",,,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
"Cooperativa Sociale ""La Città Della Luna""",Sede Legale,"Via Tanagro, 12 - Salerno (SA)","40.660227, 14.808938",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
"Cooperativa Sociale ""La Città Della Luna""
Prometeo 82
Il Girasole Società Cooperativa Sociale",D'Allora - Asilo Nido,"Via D'Allora, Salerno (SA)","40.666241, 14.805164",089 2854848,asilo.dallora@gmail.com,Asili Nido,Direzione integrata asili nido
"Cooperativa Sociale ""La Città Della Luna""
Prometeo 82
Il Girasole Società Cooperativa Sociale",Premuda - Asilo Nido,Via Premuda - 84121 Salerno (SA),"40.657517, 14.814668",089 333881,asilonidopremuda@libero.it,Asili Nido,Direzione integrata asili nido
"Cooperativa Sociale ""La Città Della Luna""
Prometeo 82
Il Girasole Società Cooperativa Sociale",Iandolo - Asilo Nido Comunale,Via E. Iandolo snc - 84100 Salerno (SA),"40.700801, 14.793703",329 2165213,asilonidopastorano2017@gmail.com,Asili Nido,Direzione integrata asili nido
"Cooperativa Sociale ""La Città Della Luna""
Prometeo 82
Il Girasole Società Cooperativa Sociale",Bottiglieri - Asilo Nido Comunale,Via Enrico Bottiglieri - 84134 Salerno (SA),"40.677173, 14.777781",349 8109198,asilonidobottiglieri@gmail.com,Asili Nido,Direzione integrata asili nido
Cooperativa Sociale A.S.S.,Le Nuvole Di Picasso,"Via Delle Industrie , 18/20, Bellizzi (SA)","40.628161, 14.956853",089 9481393,cooperativaass@libero.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Cooperativa Sociale Allegramente,Gruppo Appartamento Allegramente,"Via Posidonia,161, 84095 Salerno (SA)","40.667658, 14.789588",089 2582245,allegramente@retesolidale.it,Area Integrazione Socio-Sanitaria,Gruppo appartamento a basso livello di protezione per persone adulte con disagio pischico
Cooperativa Sociale Boetheia Onlus,Casa Crisalide,"Via Manzoni, 2 - 80044 Ottaviano (NA)","40.846539, 14.504056",081 8614496,boetheiaonlus@gmail.com,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Cooperativa Sociale Intesa,San Nicola,"Via Due Principati, 64,83020, Forino( AV)","40.854003, 14.750385",089 2582245,sanicola@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Cooperativa Sociale Napoli - Integrazione,Coop. Sociale Napoli Integrazione a marchio Anfass,"Largo S.C. de Lellis, 1 - 80046 San Giorgio a Cremano (NA)","40.834483, 14.344744",081 4288025,contabilita@napolintegrazione.it,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Cooperativa Sociale Saturno Onlus,Sede Legale,"Via Contrada Pezzapiana, snc - Benevento (AV)","41.144113, 14.773349",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Cooperativa Sociale Senso Alato Scs,Calata S. Vito,Via S. Bartolomeo 16 84080 Pelezzano (SA),"40.711471, 14.771685",089 796184,sensoalato@virgilio.it,Area Integrazione Socio-Sanitaria,"Casa alloggio a bassa attività assistenziale
Assistenza Domiciliare Integrata (ADI)"
Cooperativa Sociale Senso Alato Scs,Sede Legale,"Via Tanagro, 12 - Salerno (SA)","40.660227, 14.808938",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Cooperativa Sociale Un Tetto Per Tutti,Peter Pan,"Via Tusciano, 25,84132, Salerno (SA)","40.659477, 14.810425",089 2582245,peterpan@retesolidale.it,Area Disabilità,Accoglienza Residenziale per soggetti con disabilità
Cooperativa Sociale Un Tetto Per Tutti,Casa Di Vito,"Via Giovanni Xxiii, 84126, Salerno (SA)","40.659477, 14.769735",089 2582245,casadivito@retesolidale.it,Area Disabilità,Accoglienza Residenziale per soggetti con disabilità
Cooperativa Sociale Un Tetto Per Tutti,Centro Socio Educativo Cse,"Via Giovanni Xxiii, 84126, Salerno (SA)","40.688612, 14.769735",089 2582245,info@retesolidale.it,Area Disabilità,Centro Diurno Polifunzionale per persone con disabilità
Cooperativa Sociale Un Tetto Per Tutti,Sede Legale,"Via G. Negri, 5 - Salerno (SA)","40.683366, 14.767382",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Cooperativa Sorrisi D'Argento,Casa alloggio Eracle,"Via Cupa del Feudo, 35 Sant'Egidio del Monte Albino (SA)","40.737886, 14.589379",,,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Cooperativa Sorrisi D'Argento,Casa alloggio Demetra,"Via Quarto 34, Sant'Egidio del Monte Albino (SA)","40.752525, 14.591354",,,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Delfino - Società Cooperativa Sociale,Chicco Di Grano,"Via Rocco Cocchia, 173 - 84100 Salerno","40.664317, 14.801740", , ,"Area Immigrazione, Area Minori","Accoglienza residenziale minori
Accoglienza residenziale minori MSNA"
Delfino - Società Cooperativa Sociale,Raggio Di Sole,"Via Martiri Ungheresi, 13 Salerno (SA)","40.665121, 14.794310",, ,Area Minori,Accoglienza semi residenziale minori
Delfino - Società Cooperativa Sociale,Sentiero Di Luna,"Viale Dei Romani, 1 Salerno (SA)","40.698522, 14.781300",, ,Area Minori,Accoglienza semi residenziale minori
Domus Familia Felix,Domus Familia Felix,"Via Tenente Falco, 53 - Mercato San Severino (SA)","40.781690, 14.751387",335 6516711,domusfamiliafelix@outlook.it,"Area Contrasto Alla Povertà, Area Minori",Accoglienza donne maltrattate e donne con bambini
Emmaus,Dolce Sentire,"Via Fratelli Linguiti, 14/A Salerno (SA)","40.681248, 14.759424", , ,Area Minori,Accoglienza residenziale minori
Emmaus,Casa Mercedes,"Via Marcello Torrione, 14/1 - 84085 Mercato San Severino (SA)","40.778275, 14.737351", , ,Area Immigrazione,Accoglienza residenziale MSNA
Emmaus,L'airone,"Via Vitoli, 14 Castiglione Dei Genovesi","40.724578, 14.850801", , ,Area Minori,Accoglienza residenziale minori
Emmaus,Centro Accoglienza Albero Della Vita,"Via Vitoli, 14 Castiglione Dei Genovesi","40.724578, 14.850801", , ,Area Minori,Accoglienza residenziale minori
Emmaus,I Papaveri,"Via Nizza, 134/C Salerno","40.680256, 14.771683", , ,Area Minori,Accoglienza residenziale minori
Emmaus,Oltre I Confini,"Via Pizzi, 9 Castiglione Dei Genovesi (SA)","40.724125, 14.849915", , ,Area Minori,Accoglienza residenziale minori
Emmaus,L'albero Della Vita,"Via Vitoli, 8 - Castiglione Dei Genovesi (SA)","40.724528, 14.849869",328 5327422,direzione@emmaussalerno.it,Area Contrasto Alla Povertà,Accoglienza donne maltrattate e Donne con bambini
Emmaus,Oltre i confini,"Via Pizzi, 9 - Castiglione dei Genovesi (SA)",,,,Area Immigrazione,Progetto SAI
Etm,La Casa Di Manuela,"Via Cavalieri Di Vittorio Veneto, 19 - 81034 Mondragone (CE)","41.104737, 13.888820", , ,Area Immigrazione,Accoglienza residenziale MSNA
Faber,Faber,"Via Lo Fiengo, 29 - Calvi (BN)","40.724125, 14.849915",0824 338068,coop.faber@libero.it,Area Minori,Accoglienza residenziale minori
Figlie Della Carità Preziosissimo Sangue,Tommaso Maria Fusco,"Via Rocco Cocchia, 37 Salerno","40.664009, 14.797311",089 752881, ,Area Minori,Accoglienza residenziale minori
Fili D'Erba - Cooperativa Sociale,Gulliver,"Via Rocco Cocchia, 189, 84132 Salerno (SA)","40.664426, 14.802320",, ,Area Minori,Accoglienza semi residenziale minori
Fili D'Erba - Cooperativa Sociale,Anthos,"Via Trento, 177 Salerno","40.658459, 14.801855",, ,Area Minori,Accoglienza semi residenziale minori
Fili D'Erba - Cooperativa Sociale,Ippocampo,"Via Largo Moscati, 9 Int. 6 Salerno (SA)","40.660064, 14.811412",, ,Area Minori,Accoglienza semi residenziale minori
Fili D'Erba - Cooperativa Sociale,Casa Dolce Casa,"Via Vanvitelli, 13/A - 84091 Battipaglia (SA)","40.616658, 14.963938", , ,"Area Immigrazione, Area Minori","Accoglienza residenziale minori
Accoglienza residenziale minori MSNA"
Fondazione Anffas Salerno G. Caressa Onlus,Fondazione Anffas Salerno,"Via Del Tonnazzo, 83 - 84100 Salerno (SA)","40.652645, 14.853374",,,Area Integrazione Socio-Sanitaria,Centro Diurno Integrato
Fondazione Casamica,"Co-Housing ""Dopo Di Noi""","Via Mare Adriatico,9 84098 Pontecagnano  (SA)","40.618117, 14.860764",089 2582245,info@retesolidale.it,Area Disabilità,Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato
Fondazione Casamica,Casal Fauastino / Sirmiv,"Via L. D'Alessio,84095, Giffoni Valle Piana (SA)","40.690607, 14.926903",089 2582245,sirmiv@retesolidale.it,Area Minori,
Fondazione Casamica,Villa Angela,"Via Fratelli Cairoli, 51 84092 Bellizzi (SA)","40.620269, 14.941697",089 2582245,villa.angela@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Fondazione Casamica,Dolce Risveglio,"Via Moio Alto, 84043, Agropoli (SA)","40.342908, 14.993114",089 2582245,dolcerisveglio@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Fondazione Casamica,Padre Lorenzo Natiello,"Via Longa, 4,84099, San Cipriano Picentino (SA)","40.698275, 14.874651",089 2582245,padrelorenzonatiello@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Fondazione Casamica,Casal Del Noce,"Via San Pietro, 1 84090, Giffoni Sei Casali (SA)","40.698338, 14.897577",089 2582245,casaldelnoce@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Fondazione Casamica,La Collina,"Via Subia, 45 ,84084, Fisciano (SA)","40.753431, 14.813446",089 2582245,lacollina@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Fondazione Casamica,Nonno Emilio,"Via Mar Adriatico, 11, 84098, Pontecagnano Faiano (SA)","40.618004, 14.860816",089 2582245,nonnoemilio@retesolidale.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Fondazione Casamica,Casalbergo F. Villani,"Via E. De Filippo, 1,83011, Altav.Irpina (AV)","41.004969, 14.779118",089 2582245,casalbergovillani@retesolidale.it,Area Persone Anziane,Casa albergo residenziale
Fondazione Casamica,Gruppo Appartamento Villa Acquamare,"Via Longa, 1 84099, San Cipriano Picentino (SA)","40.698275, 14.874651",089 2582245,info@retesolidale.it,Area Disabilità,Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato
Fondazione Casamica,Gruppo Appartamento Casamia,"Via P. Sichelgaita,33, 84126 Salerno (SA)
Via Fulgenzio D'Allora, 5 - Salerno (SA)","40.685770, 14.771055",089 2582245,info@retesolidale.it,Area Disabilità,Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato
Gea Società Cooperativa Sociale,Sede Legale,"Piazza Corsano, 8, 84010, Tramonti (SA)","40.703432, 14.635452",089 876135,gare@coopgea.org,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Gea Società Cooperativa Sociale,Sede Legale,"Piazza Corsano, 8, 84010, Tramonti (SA)","40.703432, 14.635452",089 876135,gare@coopgea.org,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
Gea Società Cooperativa Sociale,Maria Grazia Gargano,"Corso Vittorio Emanuele II, 40 - Sant'Angelo dei Lombardi (AV)","40.927077, 15.178496",,,Area Integrazione Socio-Sanitaria,Comunità tutelare
Gea Società Cooperativa Sociale,Villa San Gallo,Via Cotugno - Roccabascerana (AV),"41.017174, 14.718354",,,Area Integrazione Socio-Sanitaria,Comunità tutelare
Giovamente,Ohana,"Via Spirito Santo, 2 Pellezzano (SA)","40.729972, 14.759175",, ,Area Minori,Accoglienza semi residenziale minori
Giovamente,Neverland,"Via Picenza, 20 - 84100 Salerno (SA)","40.657643, 14.803610", , ,Area Immigrazione,Accoglienza residenziale
Giovamente,La Tela Di Carlotta,"Via Casa Greco, 7 - Mercato San Severino (SA)","40.774132, 14.729388", , ,Area Minori,Accoglienza residenziale minori
Giovamente,Life Is A Game,"Via Moscani, 2 - Salerno (SA)","40.674607, 14.797449",,,Area Disabilità,Ludoteca sociale per bambini con disturbo dello spettro autistico
Giovamente,Sede Legale,"Via A. Nicolodi, 12 Salerno (SA)","40.729972, 14.759175",, ,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
"Gruppo Appartamento ""La Tana Di Dimitri""",Gruppo Appartamento,"Piazza D'armi, 10 - 84128 Salerno (SA)","40.667450, 14.789320",089 2869234,tanadidimitri@gmail.com,Area Disabilità,Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato
I.sa.ma Srl,Isama,"Via Dei Sarrasti, 2 - 84014 Nocera Inferiore (SA)","40.739212, 14.644287",,info@gruppoisama.it,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Il Giardino Del Tempo,Il Giardino Del Tempo,"Via O. Granozio, 38/40 - 84095 Giffoni Valle Piana (SA)","40.708670, 14.930460", , ,Area Immigrazione,Accoglienza residenziale MSNA
Il Giardino Dell'Eden,Nonno Arturo,"Via Tufariello, 24/C - 84091 Battipaglia (SA)","40.576613, 14.940962", , ,Area Immigrazione,Accoglienza residenziale MSNA
Il Girasole Società Cooperativa Sociale,Sede Legale,Via San Leonardo - Traversa Migliaro snc,"40.649415, 14.831839",089 7266595,info@cooperativasociale.it,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Il Girasole Società Cooperativa Sociale,Officina Delle Idee,Via San Leonardo - Traversa Migliaro snc,"40.649415, 14.831839",,,Area Disabilità,Centro Diurno Polifunzionale per persone con disabilità
Il Ponte,I Girasoli 2,"Via San Giacomo ai Poveri, 11 - Mercato San Severino (SA)","40.785130, 14.760692",,,Area Immigrazione,Progetto SAI
Il Ponte,Il Melograno,"Via Brignano Inferiore, 63 - Salerno (SA)","40.690807, 14.786222",,,Area Immigrazione,Progetto SAI
Il Ponte,Il Biancospino,"Via Alfredo Capone, 59 - Salerno (SA)","40.680081, 14.776071",,,Area Immigrazione,Progetto SAI
Il Sentiero,La Roccia,"Via Virlingieri, Snc - 84030 Sanza (SA)","40.244841, 15.550223", , ,Area Immigrazione,Accoglienza residenziale MSNA
Il Sogno - Cooperativa Sociale,I Ragazzi Di Padre Tobia,"Via Rufoli, Snc, Salerno (SA)","40.701186, 14.814203",, ,Area Minori,Accoglienza semi residenziale minori
Il Sollievo,Charlot,"Corso Vittorio Emanuele, 85 - 84012 Angri (SA)","40.744682, 14.574585", , ,Area Immigrazione,Accoglienza residenziale MSNA
Il Tempio Della Felicità Di Mary,Il Tempio Della Felicità Di Mary,"Via Risorgimento, 2 - 80023 Caivano (NA)","40.959461, 14.307468", , ,Area Immigrazione,Accoglienza residenziale MSNA
Il Villaggio Di Esteban,Il Bosco Di Bistorco,"Via Parmenide, 98/100, 84131 Salerno (SA)","40.656316, 14.804614",, ,Area Minori,Accoglienza semi residenziale minori
Il Villaggio Di Esteban,Porta Di Mare,"Via Marco Galdi, 14 - 84129 Salerno (SA)
Trasferita In Via Acquasanta, 27/29","40.634116, 14.844778", , ,Area Immigrazione,Accoglienza residenziale MSNA
Il Villaggio Di Esteban,Tamburo Di Latta,"Via Posidonia 163, Salerno (SA)","40.667646, 14.789644", , ,Area Minori,Accoglienza residenziale minori
Insieme,La Casa Di Kirikù,"Via Umberto D'agostino, 12 Salerno","40.659703, 14.855317", , ,Area Minori,Accoglienza residenziale minori
Insieme a P.S.G.,La Casa Di Giona,"Corso Nazionale, 171 - 84018 Scafati (SA)","40.750165, 14.521064", , ,Area Immigrazione,Accoglienza residenziale MSNA
La Colomba APS,La Casa Di Remì,"Via Mensa, 7 - Monticelli - 84062 Olevano Sul Tusciano (SA)","40.649143, 15.018966", , ,Area Immigrazione,"Accoglienza residenziale MSNA
Accoglienza residenziale minori"
La Filanda Srl,S. Rita,"Via Roma, 3 - 84087 Sarno (SA)","40.813559, 14.616285",,,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
La Meridiana,Sede Legale,"Via Dei Longobardi, snc - Benevento (AV)","41.137403, 14.779569",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
La Piccola Perla,"Comunità Alloggio ""Madre Agostina""","Via I Maggio, Snc Apice (BN)","41.128208, 14.950567", , ,Area Minori,Accoglienza residenziale minori
La Provvidenza,Fatima,"Via Sabatella Scigliati, 20 - 84047 Capaccio (SA)","40.481300, 15.017846", , ,Area Immigrazione,Accoglienza residenziale MSNA
La Tavola Rotonda,Prato Verde, ,, , ,Area Immigrazione,Accoglienza residenziale MSNA
Leukos,Sede Legale,"Via Luigi Guercio, 208 - Salerno (SA)","40.675255, 14.778133",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Medea,Iris,"Via Della Pietra, 4 - 81046 Grazzanise (Ce)","41.090367, 14.097728", , ,Area Immigrazione,Accoglienza residenziale MSNA
Nasce Un Sorriso,Sede Legale,"Via Del Gallitello, 229 - Potenza (PZ)","40.638357, 15.783423",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Nuova Vita,I Have A Dream,"Via G. Bruno, 3 - 80033 Cicciano (NA)","40.964746, 14.533056", , ,Area Immigrazione,Accoglienza residenziale MSNA
Oltre L'Orizzonte,Casa Del Cuore,"Via Luonghi, 20 - Giffoni Sei Casali (SA)","40.718003, 14.903152",335 6516711,oltrelorizzonteonlus@outlook.com,Area Contrasto Alla Povertà,Accoglienza donne maltrattate e Donne con bambini
On The Road,La Casa Di Nelly,"Via Monticelli, 21 - San Mango Piemonte (SA)","40.695157, 14.850491",347 5711789,ontheroad.salerno@gmail.com,Area Contrasto Alla Povertà,Accoglienza donne maltrattate e Donne con bambini
On The Road,Rebirth,"Via G. Romano, 4 Salerno (SA)","40.673322, 14.778172",347 5711789,ontheroad.salerno@gmail.com,Area Contrasto Alla Povertà,Accoglienza donne maltrattate e Donne con bambini
Onmic,Seconda Stella A Destra,"Via Palestro, 11 Salerno (SA)","40.674627, 14.790817",, ,Area Minori,Accoglienza semi residenziale minori
Onmic,Seconda Stella A Destra 2,"Via L. Orofino, 49/55, Salerno (SA)","40.672147, 14.784198",, ,Area Minori,Accoglienza semi residenziale minori
Onmic,Casa Granozio,"Via Carlo Granozio, 8 - 84127 Salerno (SA)","40.669531, 14.786257", , ,Area Immigrazione,Accoglienza residenziale MSNA
Onmic,Gli Amici Dell'Onmic,"Via Orofino, 53 - Salerno (SA)","40.672183, 14.784278",,,Area Disabilità,Centro Diurno Polifunzionale per persone con disabilità
Phoenix Cooperativa Sociale Onlus,Phoenix,Via Gentile   81031 Aversa (CE),"40.973926, 14.214353",342 7845631,phoenixonlus@alice.it,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
