ENTE;STRUTTURA;INDIRIZZO;"LATITUDINE
LONGITUDINE";SITO;TELEFONO;EMAIL;AREA RIFERIMENTO;SERVIZIO;DESCRIZIONE
Associazione Quartiere Ogliara;Centro Diurno Ogliara;Via Ogliara, 4 Salerno;40.706648, 14.799886;associazionequartiereogliara.ga;089282163; associazioneculturaledivolontariatoogliara@hotmail.it;Area Minori;"Accoglienza semi residenziale minori
Centro diurno polifunzionale minori";Lo scopo principale dell’associazione è di promuovere socialità e partecipazione, realizzando attività sociali,culturali,sportive,turistiche e ricreative,nonchè servizi ed attività socialmente utili,contribuendo in particolare alla crescita culturale e civile dei propri soci e degli utenti inviati dai servizi pubblici.
Associazione U.I.L.D.M.;Villaggio Guido Scocozza;Via Pio XI, 84125, Salerno (SA);40.682824, 14.765733;www.retesolidale.it;089 2582245;uildm@retesolidale.it;Area Integrazione Socio-Sanitaria;Residenzialità disabili;Struttura residenziale extra-ospedaliera che eroga assistenza sanitaria,tutelare e alberghiera per disabili.
Auxilium;Comunità tutelare per anziani;Via Gelbison, 1 - Novi Velia (SA);40.217519, 15.335378;www.centropolifunzionalegelbison.it;09741931000;vincenzonuvoli@tiscali.it;Area Integrazione Socio-Sanitaria;Comunità tutelare; 
Auxilium;Giovanni Paolo II;Località Santoianni - Fellitto (SA);40.374656, 15.241786;www.casadiriposodigiovannipaoloii.it;0874745631;info@casadiriposopetrellatifernina.it;Area Integrazione Socio-Sanitaria;Comunità tutelare; 
Betlem;Comunità Alloggio San Gaspare Bertoni;Via G. Clarizia, 9 - Battipaglia (SA);40.610466, 14.975066;www.betlemcooperativa.it;0828343650; infoalloggiobertoni@virgilio.it;Area Minori;Accoglienza residenziale minori;Centro accoglienza minori collocati tramite decreto del tribunale dei minori e garanzia delle migliori cure nelle attività quotidiane (dal sostegno scolastico,al vitto,alle cure mediche4,alle attività ricreative)anche un qualificato sostegno psicologico.
Capovolti Società Cooperativa Sociale;Capovolti- Centro Sociale Polifunzionale;Via Vittorio Emanuele II, 35 - 84090 Montecorvino Pugliano (SA);40.672829, 14.948603;www.capovolti.org;089 801176;info@capovolti.org;Area Disabilità;Centro Diurno Polifunzionale per persone con disabilità;Servizio a ciclo semi-residenziale diurno di protezione sociale con funzione di accoglienza,ospitalità,orientamento e socializzazione dedicato ad adulti con disabilità motorie.
Capovolti Società Cooperativa Sociale;Riesco- Gruppo Appartamento;Via Toscana, 8 - 84098 Pontecagnano Faiano (SA);40.641602, 14.873165;www.capovolti.org;089 6800198;info@capovolti.org;Area Disabilità;Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato;Rivolto a persone con fragilità mentale che escono da percorsi di riabilitazione e si affacciano a ritrovare il proprio spazio nella comunità.
Capovolti Società Cooperativa Sociale;Casa Nadia - Casa Alloggio;Via Vittorio Emanuele II, 35 - 84090 Montecorvino Pugliano (SA);40.672829, 14.948603;www.capovolti.org;089 801176;info@capovolti.org;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;Servizio residenziale per persone adulte, con disagio psichico e con un grado di autonomia medio, ed abilità psicosociali per le quali non è necessaria assistenza sanitaria continuativa.
Casa di Cura Angrisani Srl;Villa Dei Fiori;Poggio San Pantleone - 84014 Nocera Inferiore (SA);40.736991, 14.626743;www.villadeifiori.it;081 5157711;info@villadeifiori.it;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Disabili;Centro residenziale che offre prestazioni di assistenza riabilitativa per curare soggetti affetti da menomazioni fisiche, psichiche e sensoriali.
Casa di riposo Monsignore F. Genovese Srl;Monsignore dei Genovesi;Via Largo Genovese, 18 - Cava de’ Tirreni (SA);40.705190, 14.722229;www.casariposogenovese.it;089561264;info@casariposogenovese.it;Area Persone Anziane;Casa albergo residenziale;Casa di riposo che offre servizi di: infermeria, assistenza di base, fisioterapia, cucina, messa e attività d’animazione.
Cassiopea Società Cooperativa Sociale;Ostaglio;Via Ostaglio - 84133 Salerno (SA);40.652507, 14.856037;;0987724708;coop.cassiopeas@email.it;Area Contrasto Alla Povertà;Centro di prima accoglienza e di sistemazione alloggiativa temporanea; 
Centro di Riabilitazione Lars S.r.l;Villa Formosa;Via Pietro Formosa, 19 - 84013 Cava de’ Tirreni (SA);40.698594, 14.702561;www.villaformosarsa.com;0892148801;info@villaformosarsa.com;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani;Rsa che offre assistenza medica qualificata e percorsi riabilitativi personalizzati
Centro di Riabilitazione Lars S.r.l;Villa Formosa;Via Santa Maria Delle Grazie, 11-15 - 84088 Siano SA;40.802105, 14.685445;www.villaformosarsa.com;0813043882;info@villaformosarsa.com;Area Integrazione Socio-Sanitaria;"Residenza Sanitaria Assistita (RSA) Anziani
Residenza Sanitaria Assistita (RSA) Disabili";Rsa che offre assistenza medica qualificata e percorsi riabilitativi personalizzati
Centro di Riabilitazione Lars S.r.l;CDI Centro Diurno Integrato;Piazza Municipio, 1 - 84080 Pellezzano (SA);40.726946, 14.760444;www.centrolars.com;089568249;info@centrolars.com;Area Integrazione Socio-Sanitaria;Centro Diurno Integrato;Offre a soggetti disabili assistenza medica, infermieristica e riabilitativa di livello medio-alto
Centro Italiano Femminile - CIF;Centro Italiano Femminile Provinciale Di Salerno;Via Giulio Ruggi, 42 - Salerno (SA);40.667510, 14.786416; ;089226000;segreteria@cifnazionale.it;;Centro anti-violenza per donne;
Co.Ta.Sa. - Cooperativa Taxisti Salernitani;Co.Ta.Sa. - Cooperativa Taxisti Salernitani;Via Nicola Granati, 6/A - Salerno (SA);40.673204, 14.788363;;089 757575;;Area Disabilità;Servizio Taxi Disabili;
Colomba S.p.a.;Sant’Antonio;Via Convento, 1 - 84090 Giffoni Sei Casali (SA);40.740970, 14.903750;www.colomba.it;089883880;rsa@coopcolomba.it;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani;La società cooperativa offre agli utenti uno strumento atto a fornire una serie di infomazioni sulle attività sanitarie e sociosanitarie erogate.
Consorzio Coop. Sociali “Handy Care”;Sede Legale;Via Giovanni Negri, 5 Salerno (SA);40.683366, 14.767382;www.retesolidale.it;0892582245;info@retesolidale.it;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità; 
Consorzio Coop. Sociali “Il Deltaplano”;Sede Legale;Traversa Migliaro snc Salerno (SA);40.649415, 14.831839;www.ildeltaplano.it;0897266595;ildeltaplano@gmail.com;Area Disabilità;"Assistenza specialistica all’integrazione scolastica per alunni con disabilità
Assistenza Domiciliare Integrata (ADH)";" Promuove attività e/o servizi per: salvaguardare i minori, portatori di abilità diverse ed anziani;tendenti a sviluppare una maggiore conoscenza e coscienza del cittadino, attraverso manifestazioni e attività di sensibilizzazione;Formare ed aggiornare gli operatori del sociale per una migliore condizione di vita propria e degli utenti presi in carica; Contrastare l'esclusione sociale e favorire l'inserimento dei soggetti svantaggiati nel contesto sociale."
Consorzio Di Cooperative Sociali “La Rada”;Sede Legale;Via Tanagro, 12 - Salerno (SA);40.660227, 14.808938;www.consorziolarada.it;0892583316;info@consorziolarada.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); 
Consorzio Di Cooperative Sociali “La Rada”;Vernieri - Asilo Nido Comunale;Via Principessa Sichelgaita, 12 - 84125 Salerno (SA);40.682136, 14.762855;www.consorziolarada.it;089  662915;asilonidovernieri@comune.salerno.it;Asili Nido;Direzione integrata asili nido;"Il nido d'infanzia è organizzato in sezioni che possono corrispondere alle fasce di età (sezione piccoli o lattanti, dai 3 ai 15 mesi; sezione medi o semidivezzi, dai 15 ai 24 mesi; sezione grandi o divezzi, dai 24 ai 36 mesi) oppure possono essere miste (con bambini di diversa età)."
Consorzio Di Cooperative Sociali “La Rada”;Teresa Buonocore - Asilo Nido Comunale;Piazza Pio XII, 9, 84133 Salerno (SA);40.666193, 14.795785;www.consorziolarada.it;089  663332;asilonidobuonocore@gmail.com;Asili Nido;Direzione integrata asili nido;"Il nido d'infanzia è organizzato in sezioni che possono corrispondere alle fasce di età (sezione piccoli o lattanti, dai 3 ai 15 mesi; sezione medi o semidivezzi, dai 15 ai 24 mesi; sezione grandi o divezzi, dai 24 ai 36 mesi) oppure possono essere miste (con bambini di diversa età)."
Consorzio Di Cooperative Sociali “La Rada”;Il Birillo - Asilo Nido Comunale;Via Mauri Raffaele, 61, 84129 Salerno (SA);40.662045, 14.799494;www.consorziolarada.it;089  665193;asilonidobirillo@comune.salerno.it;Asili Nido;Direzione integrata asili nido;"Il nido d'infanzia è organizzato in sezioni che possono corrispondere alle fasce di età (sezione piccoli o lattanti, dai 3 ai 15 mesi; sezione medi o semidivezzi, dai 15 ai 24 mesi; sezione grandi o divezzi, dai 24 ai 36 mesi) oppure possono essere miste (con bambini di diversa età)."
Consorzio Di Cooperative Sociali “La Rada”;Sorriso - Asilo Nido Comunale;Via Onorato da Craco, 84135 Salerno (SA);40.684393, 14.778524;www.consorziolarada.it;089  790625;asilonidosorriso@comune.salerno.it;Asili Nido;Direzione integrata asili nido;"Il nido d'infanzia è organizzato in sezioni che possono corrispondere alle fasce di età (sezione piccoli o lattanti, dai 3 ai 15 mesi; sezione medi o semidivezzi, dai 15 ai 24 mesi; sezione grandi o divezzi, dai 24 ai 36 mesi) oppure possono essere miste (con bambini di diversa età)."
Consorzio Di Cooperative Sociali “La Rada”;Giuseppina Saragat - Asilo Nido Comunale;Via Fusandola, 2, 84121 Salerno (SA);40.680083, 14.753737;www.consorziolarada.it;089  662148;asilonidosaragat@gmail.com;Asili Nido;Direzione integrata asili nido;"Il nido d'infanzia è organizzato in sezioni che possono corrispondere alle fasce di età (sezione piccoli o lattanti, dai 3 ai 15 mesi; sezione medi o semidivezzi, dai 15 ai 24 mesi; sezione grandi o divezzi, dai 24 ai 36 mesi) oppure possono essere miste (con bambini di diversa età)."
Coop Soc Il Villaggio Di Esteban;Centro Diurno Il Bosco Di Bistorco;Via Parmenide 98/100 Salerno (SA);40.655911, 14.805636;www.ilvillaggiodiesteban.it;328 7784971;areaminori@ilvillaggiodiesteban.it;Area Minori;Accoglienza semi residenziale minori;Il Centro diurno polifunzionale è un servizio articolato in spazi multivalenti, che si colloca nella rete dei servizi sociali territoriali. Offre possibilità di aggregazione finalizzata alla prevenzione di situazioni di disagio attraverso proposte di socializzazione tra minori e di identificazione con figure adulte significative. Offre sostegno e supporto alle famiglie.
Coop Soc Il Villaggio Di Esteban;Gruppo Appartamento Il Dito E La Luna;Via Trento 94/B Salerno (SA);40.660234, 14.799095;www.ilvillaggiodiesteban.it;346 8822370;assistentesociale@ilvillaggiodiesteban.it;Area Disabilità;Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato;Il gruppo appartamento è un servizio residenziale con livello medio di protezione per disabili adulti autonomi e semiautonomi che, non necessitano di assistenza sanitaria continuativa e che optano per una scelta di convivenza, pur nel contesto di una soluzione abitativa autonoma.
Coop Soc Il Villaggio Di Esteban;Centro Diurno Polifunzionale Tangram;Via Mauri Raffaele, 61, 84129 Salerno SA;40.662045, 14.799494;www.ilvillaggiodiesteban.it;320 0182063;assistentesociale@ilvillaggiodiesteban.it;Area Disabilità;"Centro Diurno Polifunzionale per persone con disabilità
Trasporto collettivo disabili";"Il Centro Sociale Polifunzionale è un servizio a ciclo semi-residenziale per disabili adulti e minori dagli 11 ai 18 anni, autonomi e semiautonomi. Si occupa di : assicurare l’assistenza agli ospiti nell’espletamento delle attività e delle funzioni quotidiane, nonché la somministrazione dei pasti, in relazione agli orari di apertura.
attività culturali, laboratoriali, ludico-ricreative, corsi di ginnastica dolce, iniziative di auto-mutuo-aiuto. La frequenza per i minori in età scolare deve essere organizzata in maniera compatibile con l’assolvimento dell’obbligo scolastico"
"Cooperativa Sociale ""Il Villaggio Di Esteban""";"Casa Alloggio ""Escargot""";Via Premuda, 11 - 84132 Salerno (SA);40.658078, 14.814172;www.ilvillaggiodiesteban.it;089 2961833;escargotsalerno@gmail.com;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;Servizio residenziale a carattere familiare con medio livello di protezione per persone adulte con disagio psichico che presentano un grado di autonomia medio ed abilità psicosociali sufficientemente acquisite e non necessitano di assistenza sanitaria continuativa. La casa alloggio offre alle persone con disturbo psichiatrico una soluzione abitativa protetta (assistenza continua sociale) nell’ambito di un percorso terapeutico in via di completamento e da realizzare in stretta collaborazione con il servizio sociale professionale dell’Ambito territoriale ed i servizi del DSM
"Cooperativa Sociale ""Il Villaggio Di Esteban""";"Casa Alloggio ""Si Può Fare""";Piazza Matteo D'Aiello, 12 - 84121 Salerno (SA);40.680145, 14.754145;www.ilvillaggiodiesteban.it;089 3180532;sipuofare.villaggiodiesteban@gmail.com;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;Servizio residenziale a carattere familiare con medio livello di protezione per persone adulte con disagio psichico che presentano un grado di autonomia medio ed abilità psicosociali sufficientemente acquisite e non necessitano di assistenza sanitaria continuativa. La casa alloggio offre alle persone con disturbo psichiatrico una soluzione abitativa protetta (assistenza continua sociale) nell’ambito di un percorso terapeutico in via di completamento e da realizzare in stretta collaborazione con il servizio sociale professionale dell’Ambito territoriale ed i servizi del DSM
Cooperativa Sociale “Il Villaggio Di Esteban”;Sede Legale;Via R. Mauri c/o ex UMA - Salerno (SA);40.658350, 14.802843;www.ilvillagiodiesteban.it;089330330;carlo.noviello@ilvillaggiodiesteban.it;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità; 
Cooperativa Sociale “La Città Della Luna”;Sede Legale;Via Tanagro, 12 - Salerno (SA);40.660227, 14.808938;www.cittadellaluna.it;0892854848;info@cittadellaluna.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI);"La Città della Luna è una Cooperativa Sociale nata nel 2001 a Salerno, in Campania. Occupa oltre 70 lavoratori nel rispetto dei CCNL e attualmente gestisce nell'area di Salerno e provincia:
- servizi alla prima infanzia ed alla famiglia (co-gestione dei 10 asili nido comunali di Salerno e Cava de' Tirreni);
- servizi educativi domiciliari;
- servizi integrativi pomeridiani di potenziamento scolastico;
- servizi di assistenza domiciliare ad anziani e diversamente abili non autosufficienti;
- prevenzione secondaria e house sociali per persone in “zona grigia”."
Cooperativa Sociale “La Città Della Luna”;Servizio a domicilio;;;www.cittadellaluna.it;;;Area Responsabilità Familiari;Educativa domiciliare;
Cooperativa Sociale “La Città Della Luna”;Asilo Nido Spazio Bambine e Bambini;Via Trotula de’ Ruggiero, 24 - 84121 Salerno (SA);40.681201, 14.756368;www.cittadellaluna.it;0892854848;info@cittadellaluna.it;Area Responsabilità Familiari;Spazio bambini e bambine;
"Cooperativa Sociale “La Città Della Luna”
Prometeo 82
Il Girasole Società Cooperativa Sociale";D’Allora - Asilo Nido;Via D'Allora, Salerno (SA);40.666241, 14.805164;www.cittadellaluna.it;089 2854848;asilo.dallora@gmail.com;Asili Nido;Direzione integrata asili nido;"La Città della Luna è una Cooperativa Sociale nata nel 2001 a Salerno, in Campania. Occupa oltre 70 lavoratori nel rispetto dei CCNL e attualmente gestisce nell'area di Salerno e provincia:
- servizi alla prima infanzia ed alla famiglia (co-gestione dei 10 asili nido comunali di Salerno e Cava de' Tirreni);
- servizi educativi domiciliari;
- servizi integrativi pomeridiani di potenziamento scolastico;
- servizi di assistenza domiciliare ad anziani e diversamente abili non autosufficienti;
- prevenzione secondaria e house sociali per persone in “zona grigia”."
"Cooperativa Sociale “La Città Della Luna”
Prometeo 82
Il Girasole Società Cooperativa Sociale";Premuda - Asilo Nido;Via Premuda - 84121 Salerno (SA);40.657517, 14.814668;www.cittadellaluna.it;089 333881;asilonidopremuda@libero.it;Asili Nido;Direzione integrata asili nido;"La Città della Luna è una Cooperativa Sociale nata nel 2001 a Salerno, in Campania. Occupa oltre 70 lavoratori nel rispetto dei CCNL e attualmente gestisce nell'area di Salerno e provincia:
- servizi alla prima infanzia ed alla famiglia (co-gestione dei 10 asili nido comunali di Salerno e Cava de' Tirreni);
- servizi educativi domiciliari;
- servizi integrativi pomeridiani di potenziamento scolastico;
- servizi di assistenza domiciliare ad anziani e diversamente abili non autosufficienti;
- prevenzione secondaria e house sociali per persone in “zona grigia”."
"Cooperativa Sociale “La Città Della Luna”
Prometeo 82
Il Girasole Società Cooperativa Sociale";Iandolo - Asilo Nido Comunale;Via E. Iandolo snc - 84100 Salerno (SA);40.700801, 14.793703;www.cittadellaluna.it;329 2165213;asilonidopastorano2017@gmail.com;Asili Nido;Direzione integrata asili nido;"La Città della Luna è una Cooperativa Sociale nata nel 2001 a Salerno, in Campania. Occupa oltre 70 lavoratori nel rispetto dei CCNL e attualmente gestisce nell'area di Salerno e provincia:
- servizi alla prima infanzia ed alla famiglia (co-gestione dei 10 asili nido comunali di Salerno e Cava de' Tirreni);
- servizi educativi domiciliari;
- servizi integrativi pomeridiani di potenziamento scolastico;
- servizi di assistenza domiciliare ad anziani e diversamente abili non autosufficienti;
- prevenzione secondaria e house sociali per persone in “zona grigia”."
"Cooperativa Sociale “La Città Della Luna”
Prometeo 82
Il Girasole Società Cooperativa Sociale";Bottiglieri - Asilo Nido Comunale;Via Enrico Bottiglieri - 84134 Salerno (SA);40.677173, 14.777781;www.cittadellaluna.it;349 8109198;asilonidobottiglieri@gmail.com;Asili Nido;Direzione integrata asili nido;"La Città della Luna è una Cooperativa Sociale nata nel 2001 a Salerno, in Campania. Occupa oltre 70 lavoratori nel rispetto dei CCNL e attualmente gestisce nell'area di Salerno e provincia:
- servizi alla prima infanzia ed alla famiglia (co-gestione dei 10 asili nido comunali di Salerno e Cava de' Tirreni);
- servizi educativi domiciliari;
- servizi integrativi pomeridiani di potenziamento scolastico;
- servizi di assistenza domiciliare ad anziani e diversamente abili non autosufficienti;
- prevenzione secondaria e house sociali per persone in “zona grigia”."
Cooperativa Sociale A.S.S.;Le Nuvole Di Picasso;Via Delle Industrie , 18/20, Bellizzi (SA);40.628161, 14.956853; sites.google.com;089 9481393;cooperativaass@libero.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; La Comunità Terapeutica Le Nuvole di Picasso è specializzata nel trattamento e nella riabilitazione di pazienti affetti da disturbi di tipo psichiatrico che si ispira ad una dimensione familiare capace di aderire ai bisogni di vita degli ospiti.
Cooperativa Sociale Allegramente;Gruppo Appartamento Allegramente;Via Posidonia,161, 84095 Salerno (SA);40.667658, 14.789588;www.retesolidale.it;089 2582245;allegramente@retesolidale.it;Area Integrazione Socio-Sanitaria;Gruppo appartamento a basso livello di protezione per persone adulte con disagio pischico;"La struttura offre: l’accoglienza; un’assistenza di base qualificata; sostegno e miglioramento dei livelli di autonomia acquisiti,
offre un’attività di consulenza psicologica;
persegue l’integrazione sociale degli utenti;
svolge attività didattico - formative finalizzate ad agevolare l'avvio al lavoro degli ospiti;offre occasioni di svago e divertimento quali gite, vacanze per promuovere adeguati livelli
di integrazione.
"
Cooperativa Sociale Boetheia Onlus;Casa Crisalide;Via Manzoni, 2 - 80044 Ottaviano (NA);40.846539, 14.504056;www.crisalideonlus.it;081 8614496;boetheiaonlus@gmail.com;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;"La Casa Famiglia accoglie minori vittime di maltrattamenti e/o abusi sessuali.Per quanto riguarda le attività di routine, il percorso educativo del minore, nell’ottica delle pari opportunità, contempla le seguenti attività: accudimento, cura e pulizia per l’igiene personale; cura dell’alimentazione; accompagnamento di tutela della salute;
accompagnamento nel gioco;
sostegno all’inserimento scolastico e alla socializzazione;
accompagnamento alla psicodiagnosi, e altri interventi di accompagnamento del minore che si rendessero necessari (es. TpM, eventuali incidenti probatori ecc.); accompagnamento nella fruizione guidata di programmi televisivi e di ogni altro media; accompagnamento nella partecipazione ad iniziative spettacolari, culturali, sportive e di tempo libero rivolte all’infanzia; accompagnamento nelle vacanze durante il periodo estivo."
Cooperativa Sociale Intesa;San Nicola;Via Due Principati, 64,83020, Forino( AV);40.854003, 14.750385;www.retesolidale.it;089 2582245;sanicola@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; 
Cooperativa Sociale Napoli - Integrazione;Coop. Sociale Napoli Integrazione a marchio Anfass;Largo S.C. de Lellis, 1 - 80046 San Giorgio a Cremano (NA);40.834483, 14.344744;www.aziendeitaliane.net;081 4288025;contabilita@napolintegrazione.it;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Disabili; 
Cooperativa Sociale Saturno Onlus;Sede Legale;Via Contrada Pezzapiana, snc - Benevento (AV);41.144113, 14.773349;www.saturnoonlus.it;082451282;info@saturnoonlus.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); 
Cooperativa Sociale Senso Alato Scs;Calata S. Vito;Via S. Bartolomeo 16 84080 Pelezzano (SA);40.711471, 14.771685;www.sensoalato.it;089 796184;sensoalato@virgilio.it;Area Integrazione Socio-Sanitaria;"Casa alloggio a bassa attività assistenziale
Assistenza Domiciliare Integrata (ADI)"; 
Cooperativa Sociale Senso Alato Scs;Sede Legale;Via Tanagro, 12 - Salerno (SA);40.660227, 14.808938;www.sensoalato.it;089796184;sensoalato@virgilio.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); 
Cooperativa Sociale Un Tetto Per Tutti;Peter Pan;Via Tusciano, 25,84132, Salerno (SA);40.659477, 14.810425;www.retesolidale.it;089 2582245;peterpan@retesolidale.it;Area Disabilità;Accoglienza Residenziale per soggetti con disabilità;"E’ una struttura “non sanitaria” nata per far fronte alle numerose ed impellenti esigenze di quei disabili (e delle loro famiglie) dimessi dai Centri di Riabilitazione in quanto non più suscettibili di miglioramento neuro-psico-motorio, alle quali va comunque garantito il mantenimento dei risultati acquisiti. Offre servizi di assistenza alle funzioni di base; attività di socializzazione e di reinserimento sociale (attraverso programmi individuali); cura dei rapporti con le famiglie; collaborazione con i servizi territoriali.

"
Cooperativa Sociale Un Tetto Per Tutti;Casa Di Vito;Via Giovanni Xxiii, 84126, Salerno (SA);40.659477, 14.769735;www.retesolidale.it;089 2582245;casadivito@retesolidale.it;Area Disabilità;Accoglienza Residenziale per soggetti con disabilità; Struttura rivolta a disabili medio gravi, autosufficienti, non assistibili a domicilio, privi del sostegno familiare. A questi offre non solo servizio di assistenza, ma anche un ambiente ideale alla socializzazione. Offre assistenza alle funzioni di base, attività di socializzazione e di inserimento lavorativo attraverso la gestione di una lavanderia industriale.
Cooperativa Sociale Un Tetto Per Tutti;Centro Socio Educativo Cse;Via Giovanni Xxiii, 84126, Salerno (SA);40.688612, 14.769735;www.retesolidale.it;089 2582245;info@retesolidale.it;Area Disabilità;"Centro Diurno Polifunzionale per persone con disabilità
Trasporto collettivo disabili"; 
Cooperativa Sociale Un Tetto Per Tutti;Sede Legale;Via G. Negri, 5 - Salerno (SA);40.683366, 14.767382;www.retesolidale.it;0892582245;info@retesolidale.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); 
Cooperativa Sorrisi D’Argento;Casa alloggio Eracle;Via Cupa del Feudo, 35 Sant’Egidio del Monte Albino (SA);40.737886, 14.589379;www.sorrisidargentoonlus.it;081917420;info@sorrisidargento.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; 
